business_name,status,jurisdiction,incorporation_date,agent,address,city,state,zip,county,phone,email,sos_id,business_type,source,priority,discovered_at,enrichment_status
12 Deli 3,Active,California,2021-02-27,Sample Agent 3,7095 Broadway,Sacramento,CA,95735,Sacramento,(916) 716-2346,,C8590933,deli,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:55.381Z,pending
12 Diner 3,Active,California,2025-07-18,Sample Agent 3,3791 Market St,Sacramento,CA,95512,Sacramento,(916) 620-4628,,C7932934,diner,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.257Z,pending
15 Coffee Shop 1,Active,California,2024-03-11,Sample Agent 1,8866 Market St,Sacramento,CA,95393,Sacramento,(916) 388-9115,,C7716863,coffee shop,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:53.953Z,pending
15 Coffee Shop 3,Active,California,2025-04-11,Sample Agent 3,7779 Sunset Blvd,Sacramento,CA,95542,Sacramento,(916) 546-8448,,C9288459,coffee shop,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.517Z,pending
15 Restaurant 2,Active,California,2020-08-29,Sample Agent 2,5723 Mission St,Sacramento,CA,95988,Sacramento,(916) 532-5084,,C7531382,restaurant,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.609Z,pending
15 Bistro 2,Active,California,2016-03-13,Sample Agent 2,7043 Wilshire Blvd,Sacramento,CA,95372,Sacramento,(916) 636-7794,,C3981630,bistro,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:53.921Z,pending
15 Bistro 3,Active,California,2023-03-06,Sample Agent 3,8031 Mission St,Sacramento,CA,95497,Sacramento,(916) 935-5506,,C7728122,bistro,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.977Z,pending
12 Cafe 1,Inactive,California,2018-10-08,Sample Agent 1,3720 Mission St,Sacramento,CA,95729,Sacramento,(916) 133-9068,,C3455830,cafe,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.280Z,pending
15 Taqueria 1,Active,California,2026-03-02,Sample Agent 1,6566 Broadway,Sacramento,CA,9588,Sacramento,(916) 123-3243,,C2161756,taqueria,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:53.954Z,pending
15 Restaurant 3,Inactive,California,2013-03-19,Sample Agent 3,1167 1st St,Sacramento,CA,95661,Sacramento,(916) 421-7509,,C6694798,restaurant,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.377Z,pending
15 Diner 1,Active,California,2019-11-03,Sample Agent 1,2063 Sunset Blvd,Sacramento,CA,95725,Sacramento,(916) 369-3231,,C2662688,diner,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.073Z,pending
15 Coffee Shop 2,Active,California,2022-12-15,Sample Agent 2,3528 Wilshire Blvd,Sacramento,CA,95855,Sacramento,(916) 126-2058,,C4736426,coffee shop,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.511Z,pending
20 Coffee Shop 2,Active,California,2025-04-04,Sample Agent 2,4633 Main St,Sacramento,CA,95747,Sacramento,(916) 644-7108,,C6793127,coffee shop,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:55.541Z,pending
20 Diner 2,Active,California,2024-09-10,Sample Agent 2,7433 Wilshire Blvd,Sacramento,CA,95335,Sacramento,(916) 345-4491,,C3508542,diner,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:55.513Z,pending
