business_name,category,address,neighborhood,city,state,postal_code,phone,country,source,date_scraped,rfc,employee_count,status
Centro Sur Aeronáutica S. de R.L.,Aeronáutica,1074 Corregidora,El Pueblito,Querétaro,Querétaro,76370,442-170-9975,México,Registro Público de Querétaro,2026-05-07T20:56:56.259833,IFD950878NP,11-50,Activo
Santiago Logística S.A. de C.V.,Logística,1653 Corregidora,Milenium,Querétaro,Querétaro,76678,442-707-5320,México,Registro Público de Querétaro,2026-05-07T20:56:56.259846,ALI598792LP,200+,Activo
Centro Sur Servicios S.A. de C.V.,Servicios,1838 Bernal,Tequisquiapan,Querétaro,Querétaro,76963,442-498-6321,México,Registro Público de Querétaro,2026-05-07T20:56:56.259861,JZQ164695VM,1-10,Activo
Santiago Logística S.A. de C.V.,Logística,265 Universidad,Centro,Querétaro,Querétaro,76068,442-345-6052,México,Registro Público de Querétaro,2026-05-07T20:56:56.259869,SLG309775VV,1-10,Activo
Santiago Servicios S.A. de C.V.,Servicios,1077 Corregidora,El Pueblito,Querétaro,Querétaro,76578,442-492-8790,México,Registro Público de Querétaro,2026-05-07T20:56:56.259875,LAV360470MP,1-10,Activo
Bicentenario Alimentos S. de R.L.,Alimentos,1293 Universidad,San Pablo,Querétaro,Querétaro,76619,442-939-2683,México,Registro Público de Querétaro,2026-05-07T20:56:56.259882,QEI718291TD,11-50,Activo
San Pablo Servicios S. de R.L.,Servicios,433 Bernal,San Pablo,Querétaro,Querétaro,76379,442-608-9912,México,Registro Público de Querétaro,2026-05-07T20:56:56.259888,CDC436704CF,1-10,Activo
El Marqués Aeronáutica Industrial,Aeronáutica,208 Bernal,El Marqués,Querétaro,Querétaro,76459,442-491-7835,México,Registro Público de Querétaro,2026-05-07T20:56:56.259894,ETD527269UG,11-50,Activo
Santiago Alimentos Servicios,Alimentos,44 Bernal,Corregidora,Querétaro,Querétaro,76402,442-804-2371,México,Registro Público de Querétaro,2026-05-07T20:56:56.259900,MFQ132763LS,200+,Activo
Juriquilla Automotriz S. de R.L.,Automotriz,164 Paseo,San Pablo,Querétaro,Querétaro,76474,442-619-4191,México,Registro Público de Querétaro,2026-05-07T20:56:56.259907,ZQO708744GL,51-200,Activo
Corregidora Alimentos Aeroespacial,Alimentos,242 Pasteur,San Pablo,Querétaro,Querétaro,76449,442-331-6772,México,Registro Público de Querétaro,2026-05-07T20:56:56.259913,SHU374150YI,51-200,Activo
El Marqués Aeronáutica S. de R.L.,Aeronáutica,1550 Tecnológico,Milenium,Querétaro,Querétaro,76174,442-477-3644,México,Registro Público de Querétaro,2026-05-07T20:56:56.259923,GJI599499QG,51-200,Activo
Corregidora Tecnología Aeroespacial,Tecnología,1862 Universidad,El Pueblito,Querétaro,Querétaro,76947,442-238-6123,México,Registro Público de Querétaro,2026-05-07T20:56:56.259932,APA185608HG,200+,Activo
San Pablo Construcción S. de R.L.,Construcción,1559 Universidad,Centro,Querétaro,Querétaro,76682,442-742-9349,México,Registro Público de Querétaro,2026-05-07T20:56:56.259938,JVK544909RH,200+,Activo
El Marqués Servicios Servicios,Servicios,737 Hidalgo,El Marqués,Querétaro,Querétaro,76119,442-742-6356,México,Registro Público de Querétaro,2026-05-07T20:56:56.259944,ZAW915391IF,51-200,Activo
San Pablo Aeronáutica Aeroespacial,Aeronáutica,94 Universidad,Milenium,Querétaro,Querétaro,76951,442-588-8246,México,Registro Público de Querétaro,2026-05-07T20:56:56.259950,PWC614791VN,11-50,Activo
San Pablo Comercio S. de R.L.,Comercio,228 Juriquilla,Corregidora,Querétaro,Querétaro,76795,442-163-9977,México,Registro Público de Querétaro,2026-05-07T20:56:56.259956,XAA162571DD,51-200,Activo
El Marqués Química Servicios,Química,1270 Constituyentes,Milenium,Querétaro,Querétaro,76020,442-291-2169,México,Registro Público de Querétaro,2026-05-07T20:56:56.259963,WSJ756962HD,200+,Activo
Querétaro Turismo S. de R.L.,Turismo,1343 Universidad,Centro,Querétaro,Querétaro,76041,442-379-2796,México,Registro Público de Querétaro,2026-05-07T20:56:56.259969,NWR403511RI,51-200,Activo
