business_name,category,address,city,province,postal_code,phone,country,source,date_scraped,naics_code,employee_count,status
Grand Consultation Entreprises,Consultation,7171 rue St-Urbain,Montréal,Québec,H6Z 4J6,514-646-6999,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266043,76203,51-200,Active
Consultation Centre 557,Consultation,6619 rue St-Laurent,Montréal,Québec,H7D 4V5,514-921-6118,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266059,47371,51-200,Active
Consultation Centre 671,Consultation,3783 rue St-Urbain,Montréal,Québec,H8L 5W9,514-378-7011,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266071,84691,11-50,Active
Grand Tourisme Services,Tourisme,703 rue St-Denis,Montréal,Québec,H5X 5W3,514-722-8289,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266081,84492,1-10,Active
Belle Services Financiers Solutions,Services Financiers,1630 rue René-Lévesque,Montréal,Québec,H6Z 9A3,514-446-2606,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266090,12220,11-50,Active
Belle Tourisme Entreprises,Tourisme,1929 rue Ste-Catherine,Montréal,Québec,H6B 3Z9,514-211-9143,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266099,76863,11-50,Active
Belle Tourisme S.A.R.L.,Tourisme,4465 rue René-Lévesque,Montréal,Québec,H8Y 7P4,514-529-1122,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266114,72488,1-10,Active
Centre Technologie Solutions,Technologie,3798 rue St-Laurent,Montréal,Québec,H4I 9Q1,514-548-9094,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266122,40729,1-10,Active
Technologie Belle 214,Technologie,550 rue St-Denis,Montréal,Québec,H6I 4R6,514-935-5712,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266131,65676,51-200,Active
Québec Technologie Entreprises,Technologie,3321 rue Sherbrooke,Montréal,Québec,H7X 6O2,514-806-4019,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266140,22878,11-50,Active
Grand Tourisme Inc,Tourisme,7634 rue René-Lévesque,Montréal,Québec,H5J 6R7,514-879-2268,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266155,66250,200+,Active
Nouveau Restauration Ltée,Restauration,5453 rue René-Lévesque,Montréal,Québec,H6W 8O9,514-270-7248,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266170,99274,11-50,Active
Technologie Centre 936,Technologie,7019 rue St-Laurent,Montréal,Québec,H6A 3E5,514-652-8902,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266182,25343,51-200,Active
Tourisme Québec 213,Tourisme,6586 rue St-Urbain,Montréal,Québec,H1P 1D1,514-752-6040,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266191,80407,51-200,Active
Grand Manufacturier Entreprises,Manufacturier,1296 rue St-Urbain,Montréal,Québec,H1O 4M8,514-242-9494,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266205,95793,11-50,Active
Services Financiers Grand 377,Services Financiers,7763 rue Ste-Catherine,Montréal,Québec,H4N 1R4,514-659-9611,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266213,14612,1-10,Active
Consultation Nouveau 538,Consultation,2429 rue Papineau,Montréal,Québec,H6S 8R6,514-435-5550,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266229,52046,11-50,Active
Grand Éducation Ltée,Éducation,1955 rue St-Laurent,Montréal,Québec,H2G 1B1,514-291-5025,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266237,25063,200+,Active
Grand Manufacturier Groupe,Manufacturier,6698 rue St-Laurent,Montréal,Québec,H4G 8E9,514-729-5777,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266246,42934,1-10,Active
Tourisme Centre 773,Tourisme,309 rue St-Laurent,Montréal,Québec,H9F 6L2,514-893-5300,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266254,35756,1-10,Active
Montréal Éducation Entreprises,Éducation,3605 rue Ste-Catherine,Montréal,Québec,H9X 5W6,514-315-6107,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266262,92045,200+,Active
Consultation St-Laurent 698,Consultation,3994 rue Mont-Royal,Montréal,Québec,H6B 4S1,514-933-5222,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266271,17559,11-50,Active
Centre Consultation Solutions,Consultation,2547 rue St-Laurent,Montréal,Québec,H3X 5C5,514-480-6444,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266279,39492,1-10,Active
Immobilier Centre 784,Immobilier,503 rue Ste-Catherine,Montréal,Québec,H8Q 5H9,514-425-1165,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266288,33052,51-200,Active
