business_name,status,jurisdiction,incorporation_date,agent,address,city,state,zip,county,phone,email,sos_id,business_type,source,priority,discovered_at,enrichment_status
15 Deli 1,Active,California,2011-09-20,Sample Agent 1,3011 1st St,Santa Ana,CA,92776,Santa Clara,(213) 979-4097,,C9352891,deli,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:53.944Z,pending
15 Bistro 2,Active,California,2019-07-24,Sample Agent 2,8759 Mission St,Santa Ana,CA,92208,Santa Clara,(213) 518-5643,,C7220608,bistro,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.527Z,pending
12 Cafe 1,Active,California,2013-06-22,Sample Agent 1,7372 Market St,Santa Ana,CA,92714,Santa Clara,(213) 807-9223,,C9098814,cafe,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.257Z,pending
15 Coffee Shop 3,Active,California,2013-04-02,Sample Agent 3,6075 Market St,Santa Ana,CA,9258,Santa Clara,(213) 731-2891,,C5559951,coffee shop,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.946Z,pending
15 Deli 3,Active,California,2017-05-15,Sample Agent 3,3249 Broadway,Santa Ana,CA,92601,Santa Clara,(213) 650-3710,,C5236127,deli,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.854Z,pending
12 Coffee Shop 2,Inactive,California,2012-04-23,Sample Agent 2,1817 Market St,Santa Ana,CA,92902,Santa Clara,(213) 279-2397,,C2432633,coffee shop,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:55.328Z,pending
15 Coffee Shop 2,Active,California,2014-12-13,Sample Agent 2,4779 Main St,Santa Ana,CA,92809,Santa Clara,(213) 907-5798,,C8127912,coffee shop,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.020Z,pending
15 Deli 2,Active,California,2020-12-04,Sample Agent 2,7214 Market St,Santa Ana,CA,92866,Santa Clara,(213) 571-4322,,C5811783,deli,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.920Z,pending
15 Bistro 1,Active,California,2018-10-13,Sample Agent 1,4476 1st St,Santa Ana,CA,92422,Santa Clara,(213) 598-8732,,C4735223,bistro,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.977Z,pending
15 Cafe 2,Active,California,2019-12-03,Sample Agent 2,6776 Sunset Blvd,Santa Ana,CA,9293,Santa Clara,(213) 228-2212,,C9916283,cafe,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.977Z,pending
15 Restaurant 3,Active,California,2011-05-27,Sample Agent 3,1493 Mission St,Santa Ana,CA,92625,Santa Clara,(213) 717-8535,,C5037842,restaurant,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:53.737Z,pending
15 Diner 2,Active,California,2016-02-01,Sample Agent 2,8143 Market St,Santa Ana,CA,92920,Santa Clara,(213) 514-8998,,C9620125,diner,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.035Z,pending
15 Diner 3,Inactive,California,2016-12-27,Sample Agent 3,6747 Wilshire Blvd,Santa Ana,CA,9265,Santa Clara,(213) 997-3960,,C8961819,diner,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.012Z,pending
15 Coffee Shop 1,Inactive,California,2024-03-24,Sample Agent 1,5689 1st St,Santa Ana,CA,92829,Santa Clara,(213) 274-1521,,C9833431,coffee shop,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.832Z,pending
15 Taqueria 2,Active,California,2016-12-25,Sample Agent 2,8925 Mission St,Santa Ana,CA,92958,Santa Clara,(213) 218-5828,,C1498415,taqueria,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.825Z,pending
15 Cafe 3,Active,California,2026-04-13,Sample Agent 3,6574 Mission St,Santa Ana,CA,92285,Santa Clara,(213) 274-3267,,C4197990,cafe,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.601Z,pending
20 Restaurant 2,Active,California,2019-04-30,Sample Agent 2,8795 Mission St,Santa Ana,CA,9265,Santa Clara,(213) 131-6113,,C4340375,restaurant,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.543Z,pending
20 Coffee Shop 2,Active,California,2013-10-24,Sample Agent 2,953 Sunset Blvd,Santa Ana,CA,9234,Santa Clara,(213) 942-7715,,C6986566,coffee shop,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.537Z,pending
20 Coffee Shop 3,Active,California,2010-05-03,Sample Agent 3,3191 Hollywood Blvd,Santa Ana,CA,92349,Santa Clara,(213) 301-1754,,C9070103,coffee shop,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.537Z,pending
