business_name,category,address,city,province,postal_code,phone,country,source,date_scraped,naics_code,employee_count,status
Winnipeg Agriculture Services,Agriculture,2836 Broadway Ave,Winnipeg,Manitoba,R2C 7B7,204-252-3166,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197323,31054,51-200,Active
Prairie Construction Ltd,Construction,2068 Ellice Ave,Winnipeg,Manitoba,R3C 1C2,204-493-1735,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197334,91540,1-10,Active
Peg Manufacturing Group,Manufacturing,3013 Corydon Ave,Winnipeg,Manitoba,R2C 3F5,204-265-3433,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197344,16592,1-10,Active
Peg Technology Corp,Technology,2271 Ellice Ave,Winnipeg,Manitoba,R3C 3T3,204-526-4708,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197353,82146,200+,Active
Winnipeg Transportation Inc,Transportation,308 Main Ave,Winnipeg,Manitoba,R3C 1K5,204-888-4592,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197359,86434,11-50,Active
Manitoba Technology Group,Technology,1832 Main Ave,Winnipeg,Manitoba,R2C 5S8,204-836-6604,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197365,89041,51-200,Active
Peg Retail Enterprises,Retail,389 Osborne Ave,Winnipeg,Manitoba,R2C 1M9,204-745-3714,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197371,20131,200+,Active
Peg Healthcare Enterprises,Healthcare,1389 Corydon Ave,Winnipeg,Manitoba,R2C 6X4,204-832-1677,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197376,38535,1-10,Active
Prairie Technology Corp,Technology,2241 Broadway Ave,Winnipeg,Manitoba,R3C 8U7,204-787-6726,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197382,84030,11-50,Active
Winnipeg Agriculture Services,Agriculture,429 Corydon Ave,Winnipeg,Manitoba,R2C 9R3,204-907-3965,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197388,97883,200+,Active
Manitoba Healthcare Enterprises,Healthcare,3965 Corydon Ave,Winnipeg,Manitoba,R3C 4P5,204-461-5335,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197393,63517,11-50,Active
Peg Transportation Ltd,Transportation,2402 Graham Ave,Winnipeg,Manitoba,R2C 7L6,204-448-7455,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197398,21481,1-10,Active
Prairie Professional Services Enterprises,Professional Services,3832 Osborne Ave,Winnipeg,Manitoba,R2C 8C1,204-518-3970,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197429,65716,200+,Active
Red River Agriculture Corp,Agriculture,2511 Broadway Ave,Winnipeg,Manitoba,R2C 8R6,204-870-3845,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197435,40765,51-200,Active
Winnipeg Agriculture Group,Agriculture,446 Broadway Ave,Winnipeg,Manitoba,R2C 4H6,204-533-6264,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197440,55902,11-50,Active
Winnipeg Professional Services Ltd,Professional Services,3879 Broadway Ave,Winnipeg,Manitoba,R2C 7S9,204-693-5730,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197445,95320,1-10,Active
Winnipeg Real Estate Inc,Real Estate,232 Ellice Ave,Winnipeg,Manitoba,R3C 7Q9,204-631-7589,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197450,82816,11-50,Active
Winnipeg Healthcare Ltd,Healthcare,2068 Graham Ave,Winnipeg,Manitoba,R2C 8D6,204-302-4881,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197455,35027,1-10,Active
Peg Agriculture Group,Agriculture,1098 Portage Ave,Winnipeg,Manitoba,R2C 6F9,204-846-3657,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197460,58330,1-10,Active
Peg Healthcare Inc,Healthcare,394 Osborne Ave,Winnipeg,Manitoba,R3C 5F6,204-709-2613,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197467,66621,51-200,Active
Red River Manufacturing Group,Manufacturing,3260 Ellice Ave,Winnipeg,Manitoba,R2C 2S1,204-649-7273,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197475,34796,1-10,Active
Manitoba Manufacturing Corp,Manufacturing,218 Corydon Ave,Winnipeg,Manitoba,R3C 5N3,204-287-8306,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197496,20213,51-200,Active
Manitoba Professional Services Ltd,Professional Services,249 Graham Ave,Winnipeg,Manitoba,R2C 9Q7,204-559-3173,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197517,72323,1-10,Active
Prairie Professional Services Enterprises,Professional Services,667 Graham Ave,Winnipeg,Manitoba,R2C 8F1,204-634-2804,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197526,26129,200+,Active
Winnipeg Technology Enterprises,Technology,1379 Ellice Ave,Winnipeg,Manitoba,R2C 3X5,204-435-4849,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197534,48784,51-200,Active
Winnipeg Manufacturing Services,Manufacturing,2639 Osborne Ave,Winnipeg,Manitoba,R3C 8L5,204-792-6471,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197541,76026,1-10,Active
Winnipeg Retail Ltd,Retail,2663 Graham Ave,Winnipeg,Manitoba,R2C 3H8,204-270-8323,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197547,49323,51-200,Active
Prairie Manufacturing Ltd,Manufacturing,564 Portage Ave,Winnipeg,Manitoba,R3C 2P4,204-607-3141,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197554,21639,1-10,Active
Red River Retail Ltd,Retail,153 Portage Ave,Winnipeg,Manitoba,R2C 4C5,204-952-8381,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197560,48030,200+,Active
Peg Technology Enterprises,Technology,2669 Osborne Ave,Winnipeg,Manitoba,R3C 1Y1,204-931-9880,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197567,31076,11-50,Active
Red River Professional Services Corp,Professional Services,1091 Ellice Ave,Winnipeg,Manitoba,R3C 3S6,204-201-6177,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197573,73319,51-200,Active
Red River Construction Enterprises,Construction,104 Portage Ave,Winnipeg,Manitoba,R2C 4N5,204-352-4217,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197580,87061,51-200,Active
Peg Real Estate Ltd,Real Estate,2996 Osborne Ave,Winnipeg,Manitoba,R2C 1C8,204-581-5124,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197591,84311,1-10,Active
Prairie Technology Enterprises,Technology,2444 Main Ave,Winnipeg,Manitoba,R2C 9F2,204-795-8604,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197600,78181,1-10,Active
Manitoba Retail Corp,Retail,151 Broadway Ave,Winnipeg,Manitoba,R2C 3A5,204-779-3384,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197607,66759,200+,Active
Manitoba Healthcare Ltd,Healthcare,1789 Ellice Ave,Winnipeg,Manitoba,R2C 6S1,204-855-8129,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197613,75168,51-200,Active
Winnipeg Real Estate Corp,Real Estate,2024 Ellice Ave,Winnipeg,Manitoba,R3C 3X7,204-237-2407,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197619,95876,51-200,Active
Red River Professional Services Group,Professional Services,960 Broadway Ave,Winnipeg,Manitoba,R3C 1E9,204-984-2358,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197624,67731,200+,Active
Red River Food Services Services,Food Services,2112 Portage Ave,Winnipeg,Manitoba,R2C 2T7,204-578-7612,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197630,30829,11-50,Active
Peg Food Services Enterprises,Food Services,3659 Corydon Ave,Winnipeg,Manitoba,R2C 3C4,204-795-5083,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197635,73885,51-200,Active
Winnipeg Transportation Inc,Transportation,34 Graham Ave,Winnipeg,Manitoba,R3C 9U8,204-703-6853,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197641,19635,11-50,Active
Prairie Retail Inc,Retail,2547 Portage Ave,Winnipeg,Manitoba,R2C 7L1,204-479-3329,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197646,73458,51-200,Active
Prairie Professional Services Ltd,Professional Services,52 Portage Ave,Winnipeg,Manitoba,R3C 2L1,204-537-4429,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197657,22359,51-200,Active
Prairie Construction Inc,Construction,161 Ellice Ave,Winnipeg,Manitoba,R2C 4F7,204-811-8462,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197662,20209,51-200,Active
Red River Manufacturing Inc,Manufacturing,730 Portage Ave,Winnipeg,Manitoba,R3C 8Q8,204-670-5987,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197667,79776,200+,Active
Prairie Transportation Enterprises,Transportation,1166 Broadway Ave,Winnipeg,Manitoba,R3C 8Z2,204-845-2291,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197672,69116,51-200,Active
Winnipeg Professional Services Inc,Professional Services,2542 Osborne Ave,Winnipeg,Manitoba,R3C 4L4,204-675-8418,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197677,76356,1-10,Active
Winnipeg Manufacturing Enterprises,Manufacturing,2113 Main Ave,Winnipeg,Manitoba,R3C 5U4,204-708-5000,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197682,43163,200+,Active
Winnipeg Professional Services Corp,Professional Services,2870 Ellice Ave,Winnipeg,Manitoba,R2C 1Y7,204-258-2607,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197687,16296,200+,Active
Manitoba Healthcare Services,Healthcare,1900 Broadway Ave,Winnipeg,Manitoba,R2C 5I9,204-906-9649,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197691,29809,200+,Active
Peg Transportation Enterprises,Transportation,1643 Main Ave,Winnipeg,Manitoba,R3C 8M7,204-305-2790,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197697,98882,11-50,Active
Peg Manufacturing Corp,Manufacturing,273 Portage Ave,Winnipeg,Manitoba,R2C 2B5,204-959-8031,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197706,20064,11-50,Active
Winnipeg Agriculture Services,Agriculture,150 Broadway Ave,Winnipeg,Manitoba,R3C 7O1,204-253-3935,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197714,41923,1-10,Active
Prairie Healthcare Enterprises,Healthcare,3902 Corydon Ave,Winnipeg,Manitoba,R2C 5F8,204-910-5275,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197720,60101,11-50,Active
Manitoba Transportation Services,Transportation,2418 Ellice Ave,Winnipeg,Manitoba,R3C 3M8,204-548-4782,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197725,55033,1-10,Active
Manitoba Transportation Enterprises,Transportation,1553 Portage Ave,Winnipeg,Manitoba,R2C 5R8,204-537-5657,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197730,72229,11-50,Active
Peg Professional Services Inc,Professional Services,3495 Broadway Ave,Winnipeg,Manitoba,R2C 6W6,204-783-2418,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197734,13040,11-50,Active
Red River Transportation Corp,Transportation,2200 Corydon Ave,Winnipeg,Manitoba,R3C 3K2,204-677-9364,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197740,89391,1-10,Active
Red River Construction Group,Construction,3946 Osborne Ave,Winnipeg,Manitoba,R3C 5R3,204-978-2486,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197744,72374,11-50,Active
Manitoba Agriculture Services,Agriculture,808 Portage Ave,Winnipeg,Manitoba,R2C 3Y3,204-205-4648,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197749,52764,200+,Active
Red River Agriculture Enterprises,Agriculture,1739 Main Ave,Winnipeg,Manitoba,R3C 3S5,204-777-2312,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197754,13746,11-50,Active
Red River Food Services Group,Food Services,779 Corydon Ave,Winnipeg,Manitoba,R2C 2O5,204-686-3683,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197759,95641,200+,Active
Winnipeg Wholesale Enterprises,Wholesale,3566 Ellice Ave,Winnipeg,Manitoba,R2C 9T3,204-340-8152,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197769,85246,1-10,Active
Winnipeg Professional Services Ltd,Professional Services,3604 Osborne Ave,Winnipeg,Manitoba,R3C 4Z3,204-657-9145,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197777,94565,1-10,Active
Manitoba Real Estate Enterprises,Real Estate,2943 Portage Ave,Winnipeg,Manitoba,R3C 1V3,204-771-6446,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197782,28518,1-10,Active
Winnipeg Wholesale Corp,Wholesale,1321 Main Ave,Winnipeg,Manitoba,R3C 3R2,204-995-5660,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197788,29634,11-50,Active
Manitoba Manufacturing Inc,Manufacturing,1403 Osborne Ave,Winnipeg,Manitoba,R3C 8S1,204-759-4363,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197793,49979,51-200,Active
Red River Healthcare Inc,Healthcare,37 Main Ave,Winnipeg,Manitoba,R3C 6P1,204-646-3456,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197798,69582,11-50,Active
Peg Agriculture Ltd,Agriculture,3555 Ellice Ave,Winnipeg,Manitoba,R2C 6H2,204-871-8940,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197802,53621,11-50,Active
Manitoba Transportation Ltd,Transportation,2050 Portage Ave,Winnipeg,Manitoba,R2C 5Q6,204-521-5504,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197807,83389,200+,Active
Manitoba Real Estate Group,Real Estate,2387 Corydon Ave,Winnipeg,Manitoba,R2C 5B1,204-797-1066,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197815,39588,51-200,Active
Red River Agriculture Inc,Agriculture,682 Broadway Ave,Winnipeg,Manitoba,R2C 8T5,204-846-9599,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197820,30733,11-50,Active
Manitoba Manufacturing Enterprises,Manufacturing,1594 Graham Ave,Winnipeg,Manitoba,R2C 4O8,204-587-2537,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197828,71954,51-200,Active
Winnipeg Professional Services Inc,Professional Services,2318 Broadway Ave,Winnipeg,Manitoba,R3C 1C1,204-662-7416,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197832,30624,51-200,Active
Red River Wholesale Ltd,Wholesale,2251 Osborne Ave,Winnipeg,Manitoba,R2C 9I7,204-676-3360,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197837,18221,1-10,Active
Prairie Real Estate Services,Real Estate,2786 Osborne Ave,Winnipeg,Manitoba,R3C 2X1,204-848-2766,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197842,81461,11-50,Active
Peg Retail Corp,Retail,819 Corydon Ave,Winnipeg,Manitoba,R2C 2Y1,204-252-6405,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197847,97904,11-50,Active
Manitoba Wholesale Corp,Wholesale,130 Corydon Ave,Winnipeg,Manitoba,R2C 6G4,204-664-8665,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197852,91999,1-10,Active
Prairie Transportation Services,Transportation,1940 Graham Ave,Winnipeg,Manitoba,R3C 8L5,204-208-6369,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197857,52829,51-200,Active
Winnipeg Wholesale Corp,Wholesale,2806 Osborne Ave,Winnipeg,Manitoba,R3C 4Y2,204-438-1887,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197864,19613,51-200,Active
Winnipeg Food Services Inc,Food Services,3907 Portage Ave,Winnipeg,Manitoba,R2C 1I6,204-793-7359,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197869,95335,11-50,Active
Manitoba Retail Corp,Retail,2611 Main Ave,Winnipeg,Manitoba,R2C 6C1,204-332-4104,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197874,56031,200+,Active
Peg Real Estate Enterprises,Real Estate,1063 Main Ave,Winnipeg,Manitoba,R3C 9Y7,204-714-7551,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197887,71228,51-200,Active
Peg Manufacturing Inc,Manufacturing,406 Corydon Ave,Winnipeg,Manitoba,R2C 9T4,204-992-6240,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197892,91539,11-50,Active
Prairie Healthcare Inc,Healthcare,707 Graham Ave,Winnipeg,Manitoba,R2C 1T1,204-373-1405,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197897,18120,11-50,Active
Prairie Food Services Inc,Food Services,1038 Corydon Ave,Winnipeg,Manitoba,R3C 3A4,204-952-5420,Canada,Manitoba Companies Office,2026-05-07T20:56:56.197901,39080,51-200,Active
