Name,Address,City,State,Zip,Phone,Rooms,Has Bar,Has Restaurant
Fairmont San Francisco,950 Mason Street,San Francisco,CA,94108,(415) 772-5000,606,True,True
Hyatt Regency San Francisco,5 Embarcadero Center,San Francisco,CA,94111,(415) 788-1234,821,True,True
Marriott Marquis San Francisco,780 Mission Street,San Francisco,CA,94103,(415) 896-1600,1176,True,True
Hilton San Francisco Union Square,333 O'Farrell Street,San Francisco,CA,94102,(415) 771-1400,1198,True,True
InterContinental San Francisco,888 Howard Street,San Francisco,CA,94103,(415) 616-6500,550,True,True
Westin St. Francis,335 Powell Street,San Francisco,CA,94102,(415) 397-7000,1195,True,True
Palace Hotel San Francisco,2 New Montgomery Street,San Francisco,CA,94105,(415) 512-1111,556,True,True
Ritz-Carlton San Francisco,600 Stockton Street,San Francisco,CA,94108,(415) 296-7465,336,True,True
JW Marriott Los Angeles L.A. LIVE,900 W Olympic Blvd,Los Angeles,CA,90015,(213) 765-8600,878,True,True
The Westin Bonaventure Hotel,404 S Figueroa Street,Los Angeles,CA,90071,(213) 624-1000,1358,True,True
InterContinental Los Angeles Downtown,900 Wilshire Blvd,Los Angeles,CA,90017,(213) 688-7777,889,True,True
Hilton Los Angeles Airport,5711 W Century Blvd,Los Angeles,CA,90045,(310) 410-4000,1234,True,True
Sheraton Gateway Los Angeles,6101 W Century Blvd,Los Angeles,CA,90045,(310) 642-1111,802,True,True
The Beverly Hilton,9876 Wilshire Blvd,Beverly Hills,CA,90210,(310) 274-7777,569,True,True
Four Seasons Hotel Los Angeles,300 S Doheny Drive,Los Angeles,CA,90048,(310) 273-2222,285,True,True
Manchester Grand Hyatt San Diego,1 Market Place,San Diego,CA,92101,(619) 232-1234,1628,True,True
San Diego Marriott Marquis,333 W Harbor Drive,San Diego,CA,92101,(619) 234-1500,1136,True,True
Hilton San Diego Bayfront,1 Park Blvd,San Diego,CA,92101,(619) 564-3333,1190,True,True
Hotel del Coronado,1500 Orange Avenue,Coronado,CA,92118,(619) 435-6611,757,True,True
The US Grant,326 Broadway,San Diego,CA,92101,(619) 232-3121,270,True,True
Disneyland Hotel,1150 W Magic Way,Anaheim,CA,92802,(714) 778-6600,990,True,True
Disney's Grand Californian Hotel,1600 S Disneyland Drive,Anaheim,CA,92802,(714) 956-6425,948,True,True
Hilton Anaheim,777 W Convention Way,Anaheim,CA,92802,(714) 750-4321,1572,True,True
Hyatt Regency Orange County,11999 Harbor Blvd,Garden Grove,CA,92840,(714) 750-1234,656,True,True
The Resort at Pelican Hill,22701 S Pelican Hill Road,Newport Coast,CA,92657,(949) 467-6800,204,True,True
Montage Laguna Beach,30801 S Coast Highway,Laguna Beach,CA,92651,(949) 715-7777,248,True,True
Renaissance Indian Wells Resort,44400 Indian Wells Lane,Indian Wells,CA,92210,(760) 773-4444,530,True,True
JW Marriott Desert Springs,74855 Country Club Drive,Palm Desert,CA,92260,(760) 341-2211,884,True,True
The Ritz-Carlton Rancho Mirage,68900 Frank Sinatra Drive,Rancho Mirage,CA,92270,(760) 321-8282,244,True,True
Sheraton Grand Sacramento,1230 J Street,Sacramento,CA,95814,(916) 447-5544,503,True,True
Hyatt Regency Sacramento,1209 L Street,Sacramento,CA,95814,(916) 443-1234,503,True,True
Fairmont San Jose,170 S Market Street,San Jose,CA,95113,(408) 998-1900,805,True,True
San Jose Marriott,301 S Market Street,San Jose,CA,95113,(408) 280-1300,549,True,True
Hyatt Regency Santa Clara,5101 Great America Parkway,Santa Clara,CA,95054,(408) 200-1234,502,True,True
Four Seasons Resort The Biltmore,1260 Channel Drive,Santa Barbara,CA,93108,(805) 969-2261,208,True,True
Belmond El Encanto,800 Alvarado Place,Santa Barbara,CA,93103,(805) 845-5800,92,True,True
Casa Palmero at Pebble Beach,1518 Cypress Drive,Pebble Beach,CA,93953,(831) 622-6650,24,True,True
Monterey Plaza Hotel,400 Cannery Row,Monterey,CA,93940,(831) 646-1700,290,True,True
Auberge du Soleil,180 Rutherford Hill Road,Rutherford,CA,94573,(707) 963-1211,50,True,True
Meadowood Napa Valley,900 Meadowood Lane,St Helena,CA,94574,(707) 963-3646,85,True,True
The Carneros Resort & Spa,4048 Sonoma Highway,Napa,CA,94559,(707) 299-4900,78,True,True
Edgewood Tahoe Resort,180 Lake Parkway,Stateline,CA,89449,(530) 581-1133,154,True,True
The Ritz-Carlton Lake Tahoe,13031 Ritz-Carlton Highlands Court,Truckee,CA,96161,(530) 562-3000,171,True,True
Post Ranch Inn,47900 Highway 1,Big Sur,CA,93920,(831) 667-2800,40,True,True
Alila Ventana Big Sur,48123 Highway 1,Big Sur,CA,93920,(831) 667-2331,59,True,True
