name,phone,email,address,city,state,zip,type,source
12864.93,+15599613033,info@1286493.com,"1444 Fulton St, Fresno, CA 93721",Fresno,CA,93721,customer,vendors:msg657_Pendo_0723 (15).xlsx
417 Union,(615) 401-7241,417@417union.com,417 Union St,Nashville,TN,37219,restaurant,leads:yp_directory
555 East American Steakhouse,(562) 437-0626,abeckthornton@kingsseafood.com,555 E Ocean Blvd,Long Beach,CA,90802,restaurant,leads:yp_directory
88 SUSHI & RAMEN,+12097492114,info@88sushi.com,"3564 G St, Merced, CA 95340",Merced,CA,95340,customer,vendors:msg657_Pendo_0923 (13).xlsx
94th Aero Squadron Restaurant,(305) 261-4220,sales@94miami.com,1395 NW 57th Ave,Miami,FL,33126,restaurant,leads:yp_directory
A Cote Restaurant,(510) 655-6469,user@domain.com,5478 College Ave,Oakland,CA,94618,restaurant,leads:yp_directory
Acquerello,(415) 567-5432,info@acquerellosf.com,1722 Sacramento St,San Francisco,CA,94109,restaurant,leads:yp_directory
Alessia's Ristorante Italiano,(480) 396-2888,example@mysite.com,5251 E Brown Rd Ste 108,Mesa,AZ,85205,restaurant,leads:yp_directory
AMERICAN BULL,+15592949920,info@americanbull.com,"2789 E Shaw Ave, Fresno, CA 93710",Fresno,CA,93710,customer,vendors:msg657_Pendo_0923 (13).xlsx
ANAHEIM WHITE HOUSE,+15592983196,info@anaheimwhitehouse.com,"1275 Shaw Ave, Ste 120, Clovis, CA 93612",Clovis,CA,93612,customer,vendors:msg657_Pendo_0723 (15).xlsx
ANDI'S MARKET,+15599397888,info@andismarket.com,"105 N Clovis Ave, Fresno, CA 93727",Fresno,CA,93727,customer,vendors:msg657_Pendo_0623 (17).xlsx
Antoine's Restaurant,(504) 581-4422,careers@antoinesrestaurant.com,713 Saint Louis St,New Orleans,LA,70130,restaurant,leads:yp_directory
ANTONIO'S QUICK LUNCH,+17608734546,aql761@hotmail.com,"276 S Warren St, Bishop, CA 93514",Bishop,CA,93514,customer,vendors:msg657_Pendo_1123 (12).xlsx
Anzio's Italian Restaurant,(602) 375-1221,info@anzios.com,12418 N 28th Dr,Phoenix,AZ,85029,restaurant,leads:yp_directory
Aquarium Restaurant,(615) 514-3474,aqnv@ldry.com,516 Opry Mills Dr,Nashville,TN,37214,restaurant,leads:yp_directory
