County,Restaurant_Count,Priority,Notes
Los Angeles,18500,Tier 1,"High Toast/Square density, competitive"
San Diego,8200,Tier 1,"Growing market, less saturated"
Orange,7800,Tier 1,"Affluent area, Clover strong"
San Francisco,5100,Tier 1,"Tech-forward, Toast/Revel dominant"
Riverside,4900,Tier 2,"Rapid growth, underserved"
San Bernardino,4100,Tier 2,"Industrial, Aloha legacy systems"
Santa Clara,3800,Tier 1,"Tech hub, high-value targets"
Alameda,3500,Tier 2,"SF spillover, good opportunity"
Sacramento,3200,Tier 2,"Capital region, steady market"
Contra Costa,2900,Tier 2,"Suburban, growing fast"
