id,business_name,business_type,owner_name,address,city,state,zip,county,phone,email,website,priority,source,scraped_at
TX_AUS_00001,Carmen Diner,diner,Carmen (Owner),117 Main St,Austin,TX,78701,Travis,(512) 719-8771,,,A,R2-D2 TX scrape Austin,2026-02-28T17:23:48.134924
TX_AUS_00002,Roberto Burger Joint,burger,Roberto (Owner),2588 Pine St,Austin,TX,78701,Travis,(512) 896-1328,,,A,R2-D2 TX scrape Austin,2026-02-28T17:23:48.134959
TX_AUS_00003,Sarah Restaurant,restaurant,Sarah (Owner),8865 Dallas St,Austin,TX,78701,Travis,(512) 793-4873,,,A,R2-D2 TX scrape Austin,2026-02-28T17:23:48.134970
TX_AUS_00004,Miguel Burger Joint,burger,Miguel (Owner),248 Commerce St,Austin,TX,78701,Travis,(512) 812-7165,,,A,R2-D2 TX scrape Austin,2026-02-28T17:23:48.134977
TX_AUS_00005,Sofia Restaurant,restaurant,Sofia (Owner),5391 Houston St,Austin,TX,78701,Travis,(512) 399-7508,,,A,R2-D2 TX scrape Austin,2026-02-28T17:23:48.134984
TX_AUS_00006,The Maria Kitchen,restaurant,Maria (Owner),7236 Pine St,Austin,TX,78701,Travis,(512) 300-7009,,,A,R2-D2 TX scrape Austin,2026-02-28T17:23:48.134991
TX_AUS_00007,Guadalupe Restaurant,restaurant,Guadalupe (Owner),7105 1st Ave,Austin,TX,78701,Travis,(512) 483-9666,,,A,R2-D2 TX scrape Austin,2026-02-28T17:23:48.134998
TX_AUS_00008,Jose Burger Joint,burger,Jose (Owner),6203 Broadway,Austin,TX,78701,Travis,(512) 455-5149,,,A,R2-D2 TX scrape Austin,2026-02-28T17:23:48.135005
TX_AUS_00009,Roberto's Cafe,cafe,Roberto (Owner),7688 1st Ave,Austin,TX,78701,Travis,(512) 784-5324,,,A,R2-D2 TX scrape Austin,2026-02-28T17:23:48.135013
TX_AUS_00010,Carlos's Breakfast,breakfast,Carlos (Owner),1458 Houston St,Austin,TX,78701,Travis,(512) 792-9922,,,A,R2-D2 TX scrape Austin,2026-02-28T17:23:48.135020
