id,business_name,city,state,phone,address,verification_status,real_name,email
1,"20 Coffee Shop 1",Long Beach,CA,(213) 782-2120,"None",PENDING,,
2,"20 Restaurant 2",Santa Ana,CA,(213) 131-6113,"None",PENDING,,
5,"20 Taqueria 5",Oakland,CA,(213) 695-1419,"None",PENDING,,
6,"20 Restaurant 6",San Francisco,CA,(415) 354-1423,"None",PENDING,,
7,"20 Taqueria 7",Anaheim,CA,(213) 717-7756,"None",PENDING,,
8,"20 Diner 8",San Jose,CA,(408) 326-8497,"None",PENDING,,
9,"20 Coffee Shop 9",Los Angeles,CA,(213) 843-8836,"None",PENDING,,
10,"20 Restaurant 10",San Jose,CA,(408) 664-1157,"None",PENDING,,
11,"20 Cafe 11",San Diego,CA,(619) 214-1993,"None",PENDING,,
12,"20 Coffee Shop 12",San Diego,CA,(619) 932-7870,"None",PENDING,,
13,"20 Coffee Shop 13",San Jose,CA,(408) 276-5895,"None",PENDING,,
14,"20 Bistro 14",San Francisco,CA,(415) 389-2585,"None",PENDING,,
15,"20 Coffee Shop 15",San Diego,CA,(619) 440-1959,"None",PENDING,,
16,"20 Bistro 16",Oakland,CA,(213) 932-6226,"None",PENDING,,
17,"20 Diner 17",Oakland,CA,(213) 145-3194,"None",PENDING,,
18,"20 Restaurant 18",San Jose,CA,(408) 183-4617,"None",PENDING,,
19,"20 Restaurant 19",Los Angeles,CA,(213) 336-2816,"None",PENDING,,
20,"20 Cafe 20",Santa Ana,CA,(213) 445-1815,"None",PENDING,,
38,"Restaurant House",San Antonio,TX,(210) 942-1789,"None",PENDING,,
39,"Taqueria by David",El Paso,TX,(915) 544-3428,"None",PENDING,,
93,"Taqueria by Francisco",Corpus Christi,TX,(361) 335-1250,"None",PENDING,,
103,"Cafe by Jennifer",Fort Worth,TX,(682) 460-5455,"None",PENDING,,
132,"Cafe House",Houston,TX,(281) 746-3923,"None",PENDING,,
136,"Cafe House",San Antonio,TX,(210) 318-1448,"None",PENDING,,
721,"Bar & Grill",Des Moines,IA,(319) 986-3682,"None",PENDING,,
728,"Restaurant Co.",Des Moines,IA,(641) 510-5945,"None",PENDING,,
733,"Bar of Davenport",Davenport,IA,(641) 243-6584,"None",PENDING,,
735,"Diner & Grill",Cedar Rapids,IA,(563) 404-9812,"None",PENDING,,
757,"Bistro & Grill",Cedar Rapids,IA,(641) 728-6766,"None",PENDING,,
776,"Restaurant Co.",Sioux City,IA,(515) 641-9019,"None",PENDING,,
