Business Name,City,County,State,Phone,Address,Type,Source,Priority
1821 FINE WINE & SPIRITS,AMERICAN CANYON,Napa,CA,,125 MEZZETTA CT,Food Service,ABC License Data,HIGH
7 ELEVEN STORE 2365-16640E,AMERICAN CANYON,Napa,CA,,26 RIO DEL MAR,Food Service,ABC License Data,HIGH
ANTIGAL WINERY & ESTATES,AMERICAN CANYON,Napa,CA,,1275 COMMERCE BLVD,Food Service,ABC License Data,HIGH
ARIL WINES 2.0 LLC,AMERICAN CANYON,Napa,CA,,644 HANNA DR,Food Service,ABC License Data,HIGH
BEL KING INDIAN GRILL,AMERICAN CANYON,Napa,CA,,5075 MAIN ST,Food Service,ABC License Data,HIGH
BLOC WINES  INC.,AMERICAN CANYON,Napa,CA,,265 LOMBARD RD,Food Service,ABC License Data,HIGH
BRAZOS WINE IMPORTS  LLC,AMERICAN CANYON,Napa,CA,,125 MEZZETTA CT,Food Service,ABC License Data,HIGH
BROADWAY MARKET,AMERICAN CANYON,Napa,CA,,3915 BROADWAY ST,Food Service,ABC License Data,HIGH
BURGERIM,AMERICAN CANYON,Napa,CA,,101 W AMERICAN CANYON RD,Food Service,ABC License Data,HIGH
CANYON CAFE,AMERICAN CANYON,Napa,CA,,3845 BROADWAY ST,Restaurant,ABC License Data,HIGH
CHARDONNAY GOLF CLUB,AMERICAN CANYON,Napa,CA,,2555 JAMESON CANYON RD,Food Service,ABC License Data,HIGH
CIRCLE K STORES,AMERICAN CANYON,Napa,CA,,112 LOMBARD RD,Food Service,ABC License Data,HIGH
CITATION WINE,AMERICAN CANYON,Napa,CA,,801 HANNA DR,Food Service,ABC License Data,HIGH
DEUTSCH FAMILY WINE & SPIRITS,AMERICAN CANYON,Napa,CA,,875 HANNA DR,Food Service,ABC License Data,HIGH
ETHICA WINES,AMERICAN CANYON,Napa,CA,,1275 COMMERCE BLVD,Food Service,ABC License Data,HIGH
FORTHRIGHT WINERY,AMERICAN CANYON,Napa,CA,,100 NAPA JUNCTION RD,Food Service,ABC License Data,HIGH
FOUR BEARS WINERY,AMERICAN CANYON,Napa,CA,,205 JIM OSWALT WAY,Food Service,ABC License Data,HIGH
GOLD MEDAL WINE GROUP  LLC,AMERICAN CANYON,Napa,CA,,255 LOMBARD RD,Food Service,ABC License Data,HIGH
HALBY MARKETING INC,AMERICAN CANYON,Napa,CA,,175 TOWER RD,Food Service,ABC License Data,HIGH
HARLAN ESTATE WINERY INC,AMERICAN CANYON,Napa,CA,,5555 NAPA VALLEJO HWY,Food Service,ABC License Data,HIGH
HOBEL WINES,AMERICAN CANYON,Napa,CA,,177 TOWER RD,Food Service,ABC License Data,HIGH
HUB & SPOKE WINE CO,AMERICAN CANYON,Napa,CA,,175 TOWER RD,Food Service,ABC License Data,HIGH
INDIGO WINE GROUP,AMERICAN CANYON,Napa,CA,,875 HANNA DR,Food Service,ABC License Data,HIGH
ISRAELI WINE DIRECT,AMERICAN CANYON,Napa,CA,,5555 BROADWAY,Food Service,ABC License Data,HIGH
JCOMMERCE WINE,AMERICAN CANYON,Napa,CA,,255 LOMBARD RD.  STE K,Food Service,ABC License Data,HIGH
JUNCTION BREWERY & GRILL,AMERICAN CANYON,Napa,CA,,110 W AMERICAN CANYON RD,Food Service,ABC License Data,HIGH
KING ESTATE WINERY,AMERICAN CANYON,Napa,CA,,760-820 HANNA DR,Food Service,ABC License Data,HIGH
LARUE WINES,AMERICAN CANYON,Napa,CA,,175 TOWER RD,Food Service,ABC License Data,HIGH
MASCOT WINE,AMERICAN CANYON,Napa,CA,,265 LOMBARD RD,Food Service,ABC License Data,HIGH
MOUNTAIN MIKES PIZZA,AMERICAN CANYON,Napa,CA,,410 NAPA JUNCTION RD,Food Service,ABC License Data,HIGH
NAKEDWINES.COM,AMERICAN CANYON,Napa,CA,,677 HANNA DR,Food Service,ABC License Data,HIGH
NAPA VALLEJO FLEA MARKET,AMERICAN CANYON,Napa,CA,,303 S KELLY RD,Food Service,ABC License Data,HIGH
NORTHWEST WINES LTD,AMERICAN CANYON,Napa,CA,,1200 GREEN ISLAND RD,Food Service,ABC License Data,HIGH
ONE-TEN RESTAURANT AND BAR LLC,AMERICAN CANYON,Napa,CA,,110 W AMERICAN CANYON RD,Bar,ABC License Data,HIGH
PARRY MARKET,AMERICAN CANYON,Napa,CA,,234 AMERICAN CANYON RD,Food Service,ABC License Data,HIGH
PARRYS PIZZERIA RESTAURANT,AMERICAN CANYON,Napa,CA,,234 AMERICAN CANYON RD,Restaurant,ABC License Data,HIGH
PLATA WINE PARTNERS,AMERICAN CANYON,Napa,CA,,205 JIM OSWALT WAY,Food Service,ABC License Data,HIGH
PRECEPT WINE,AMERICAN CANYON,Napa,CA,,700 HANNA DRIVE,Food Service,ABC License Data,HIGH
PRESTIGE WINE CO,AMERICAN CANYON,Napa,CA,,677 HANNA DR,Food Service,ABC License Data,HIGH
PURPLE WINE AND SPIRITS,AMERICAN CANYON,Napa,CA,,205 JIM OSWALT WY,Food Service,ABC License Data,HIGH
PURPLE WINES,AMERICAN CANYON,Napa,CA,,1166 COMMERCE BLVD,Food Service,ABC License Data,HIGH
RANCHO UVA BLANKA FAMILY WINES,AMERICAN CANYON,Napa,CA,,111 HOLCOMB LN,Food Service,ABC License Data,HIGH
ROUND TABLE PIZZA,AMERICAN CANYON,Napa,CA,,5055 MAIN ST,Food Service,ABC License Data,HIGH
SAN FRANCISCO WINE EXCHANGE,AMERICAN CANYON,Napa,CA,,644 HANNA DR,Food Service,ABC License Data,HIGH
SERENDIPITY WINES WC  LLC,AMERICAN CANYON,Napa,CA,,1200 GREEN ISLAND RD,Food Service,ABC License Data,HIGH
SOKOL BLOSSER WINERY,AMERICAN CANYON,Napa,CA,,760-820 HANNA DR,Food Service,ABC License Data,HIGH
SONOMA WINE COMPANY,AMERICAN CANYON,Napa,CA,,205 JIM OSWALT WAY,Food Service,ABC License Data,HIGH
SOUTH KELLY GRILL,AMERICAN CANYON,Napa,CA,,101 CAFE CT,Food Service,ABC License Data,HIGH
SOUTHERN WINE GROUP  LLC,AMERICAN CANYON,Napa,CA,,1275 COMMERCE BLVD,Food Service,ABC License Data,HIGH
SPRINGBOARD WINE COMPANY,AMERICAN CANYON,Napa,CA,,1200 GREEN ISLAND RD,Food Service,ABC License Data,HIGH
STOVER OAKS VINEYARD & WINERY,AMERICAN CANYON,Napa,CA,,102 GOLD VALLEY CT,Food Service,ABC License Data,HIGH
