Business Name,City,County,Phone,Address,Business Type,Source,Chain Status,Priority
Teriyaki Madness - Teriyaki Madness Hoover,,,205-502-7924,"4741 Chace Circle STE 113 Hoover, AL, 35244",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Ocotillo,,,480-584-5353,"4225 S Gilbert Rd Ste. #1 Chandler, AZ, 85249",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Peoria,,,623-878-4219,"16955 N. 75th Ave, Suite 115, Peoria, AZ",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness San Tan Village,,,480-306-7807,"3131 S Market Street #108 Gilbert, AZ, 85295",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Scottsdale,,,(480) 306-7604,"14884 North Pima Road Suite 101, Scottsdale, AZ",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Arapahoe Marketplace,,,(303) 771-5280,"8547 E Arapahoe Rd Unit F, Greenwood Village, CO 80112",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Denver Tech Center,,,720-519-0107,"8080 E Union Ave Suite 130, Denver, CO 80237​",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Firestone,,,(720) 684-6484,"4275 City Centre Rd Unit 500, Firestone, CO 80504",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Johnstown,,,970-663-9154,"4944 Thompson Pkwy., Johnstown, CO",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Littleton,,,303-955-6334,"5866 S. Wadsworth Blvd, Suite 3600, Littleton, CO",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Concord Pike,,,302-570-7124,"3311 Concord Pike, Wilmington, DE",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Clearwater,,,727-408-5558,"23894 US highway 19 N., Suite 30, Clearwater, FL",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Country Walk,,,(786) 250-5028,"13775 SW 152nd St, Miami, FL 33177",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Lakeland,,,(863) 500-8623,"304 N Kentucky Ave, Lakeland, FL 33801",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Mission Bay Plaza,,,(561) 409-2977,"0437 FL-7 B6, Boca Raton, FL",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Oviedo,,,407-542-5645,"441 E Mitchell Hammock Rd, Suite 1101 Oviedo, FL, 32765",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness O‘ahu,,,,"O‘ahu, Hawaii, USA",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Bettendorf,,,563-888-1187,"3721 State Street Bettendorf, IA, 52722",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Meridian,,,(208) 855-9026,"1653 W Island Green, Suite 301 Meridian, ID, 83646",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Gurnee,,,(224) 656-5282,"6409 Grand Ave Gurnee, IL, 60031",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Rolling Meadows,,,847-258-5761,"1319 West Golf Road Rolling Meadows, IL, 60008",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Overland Park,,,913-701-6983,"7074 W 105th St. Overland Park, KS, 66212",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
