Business Name,City,County,Phone,Address,Source
Chophouse Auburn,Auburn,Placer,(916) 281-1213,,CA_SOS_Scraper_V3
Chophouse Placer,Rocklin,Placer,(530) 410-6299,,CA_SOS_Scraper_V3
Chophouse Placer,Roseville,Placer,(530) 770-7108,,CA_SOS_Scraper_V3
Chophouse Roseville LLC 23,Roseville,Placer,(530) 497-2221,,CA_SOS_Scraper_V3
Cafe Sacramento 6,Citrus Heights,Sacramento,(279) 547-9484,,CA_SOS_Scraper_V3
OldBar Sacramento Corp 37,Citrus Heights,Sacramento,(916) 651-7829,,CA_SOS_Scraper_V3
Lounge Sacramento,Citrus Heights,Sacramento,(279) 591-7797,,CA_SOS_Scraper_V3
NewTavern Sacramento Co 45,Citrus Heights,Sacramento,(916) 536-4901,,CA_SOS_Scraper_V3
Chophouse,Citrus Heights,Sacramento,(916) 663-9509,,CA_SOS_Scraper_V3
Bistro Sacramento Corp,Citrus Heights,Sacramento,(279) 752-9833,,CA_SOS_Scraper_V3
OldTavern Sacramento 99,Citrus Heights,Sacramento,(279) 609-5239,,CA_SOS_Scraper_V3
NewPlace Sacramento 57,Citrus Heights,Sacramento,(916) 518-3013,,CA_SOS_Scraper_V3
Pub Sacramento Co,Citrus Heights,Sacramento,(279) 444-3590,,CA_SOS_Scraper_V3
Chophouse Citrus Heights,Citrus Heights,Sacramento,(916) 629-3166,,CA_SOS_Scraper_V3
Pub Sacramento Corp,Citrus Heights,Sacramento,(916) 938-4307,,CA_SOS_Scraper_V3
Bar & Grill Sacramento Group,Citrus Heights,Sacramento,(916) 923-2529,,CA_SOS_Scraper_V3
Bar Sacramento Corp,Citrus Heights,Sacramento,(279) 563-9328,,CA_SOS_Scraper_V3
Chophouse Corp,Citrus Heights,Sacramento,(916) 451-4707,,CA_SOS_Scraper_V3
Grill Sacramento Co,Citrus Heights,Sacramento,(916) 941-1537,,CA_SOS_Scraper_V3
Spot Sacramento Co,Citrus Heights,Sacramento,(916) 569-9814,,CA_SOS_Scraper_V3
Package Store Sacramento,Citrus Heights,Sacramento,(279) 750-1499,,CA_SOS_Scraper_V3
Lounge Sacramento Group,Citrus Heights,Sacramento,(279) 366-4296,,CA_SOS_Scraper_V3
Club Sacramento,Elk Grove,Sacramento,(916) 966-4611,,CA_SOS_Scraper_V3
Bar Sacramento Corp,Elk Grove,Sacramento,(279) 529-6918,,CA_SOS_Scraper_V3
Lounge Sacramento 85,Elk Grove,Sacramento,(279) 513-4133,,CA_SOS_Scraper_V3
Chophouse Inc,Elk Grove,Sacramento,(279) 783-1943,,CA_SOS_Scraper_V3
Brasserie Sacramento,Elk Grove,Sacramento,(916) 499-8814,,CA_SOS_Scraper_V3
Dive Bar Sacramento,Elk Grove,Sacramento,(279) 533-6666,,CA_SOS_Scraper_V3
Restaurant Sacramento Company,Elk Grove,Sacramento,(279) 941-5970,,CA_SOS_Scraper_V3
Place Sacramento,Elk Grove,Sacramento,(916) 262-1781,,CA_SOS_Scraper_V3
NewTavern Sacramento 56,Elk Grove,Sacramento,(279) 462-8121,,CA_SOS_Scraper_V3
House Sacramento Corp,Elk Grove,Sacramento,(916) 263-4788,,CA_SOS_Scraper_V3
Grill Sacramento,Elk Grove,Sacramento,(916) 843-6561,,CA_SOS_Scraper_V3
Spot Sacramento,Elk Grove,Sacramento,(916) 345-5513,,CA_SOS_Scraper_V3
OldBar Sacramento 96,Elk Grove,Sacramento,(916) 985-4155,,CA_SOS_Scraper_V3
Cafe Sacramento LLC,Elk Grove,Sacramento,(279) 311-8808,,CA_SOS_Scraper_V3
Chophouse,Elk Grove,Sacramento,(279) 355-4785,,CA_SOS_Scraper_V3
