name,dba,primary,city,county,state,zip,address,license_type,license_num,expiry
1821 FINE WINE & SPIRITS,1821 FINE WINE & SPIRITS,ZONIN USA INC,AMERICAN CANYON,Napa,CA,94503-9604,125 MEZZETTA CT,10,00446585,30-NOV-2026
7 ELEVEN STORE 2365-16640E,7 ELEVEN STORE 2365-16640E,7 ELEVEN INC,AMERICAN CANYON,Napa,CA,94503,26 RIO DEL MAR,20,00553936,30-JUN-2027
ANTIGAL WINERY & ESTATES,ANTIGAL WINERY & ESTATES,CORK ALLIANCE INC,AMERICAN CANYON,Napa,CA,94503-9611,1275 COMMERCE BLVD,10,00510679,31-JAN-2027
ARIL WINES 2.0 LLC,,ARIL WINES 2.0 LLC,AMERICAN CANYON,Napa,CA,94503-5106,644 HANNA DR,17,00610232,31-OCT-2026
ARIL WINES 2.0 LLC,,ARIL WINES 2.0 LLC,AMERICAN CANYON,Napa,CA,94503-5106,644 HANNA DR,20,00610232,31-OCT-2026
BEL KING INDIAN GRILL,BEL KING INDIAN GRILL,PARM UDASIN INC,AMERICAN CANYON,Napa,CA,94503-1199,5075 MAIN ST,41,00665424,30-JUN-2026
BLOC WINES  INC.,BLOC WINES  INC.,BLOC WINES  INC.,AMERICAN CANYON,Napa,CA,94503-1716,265 LOMBARD RD,02,00674917,30-JUN-2027
BRAZOS WINE IMPORTS  LLC,BRAZOS WINE IMPORTS  LLC,BRAZOS WINE IMPORTS LLC,AMERICAN CANYON,Napa,CA,94503-9604,125 MEZZETTA CT,10,00664261,30-SEP-2026
BRAZOS WINE IMPORTS  LLC,BRAZOS WINE IMPORTS  LLC,BRAZOS WINE IMPORTS LLC,AMERICAN CANYON,Napa,CA,94503-9604,125 MEZZETTA CT,13,00664261,30-SEP-2026
BROADWAY MARKET,BROADWAY MARKET,GILL  JAGJOT SINGH,AMERICAN CANYON,Napa,CA,94503-9659,3915 BROADWAY ST,21,00531801,30-APR-2027
BURGERIM,BURGERIM,DIVERSIFIED FINANCIAL SOLUTIONS,AMERICAN CANYON,Napa,CA,94503-1163,101 W AMERICAN CANYON RD,41,00666147,28-FEB-2027
BURGERIM,BURGERIM,DIVERSIFIED FINANCIAL SOLUTIONS,AMERICAN CANYON,Napa,CA,94503-1163,101 W AMERICAN CANYON RD,58,00666147,28-FEB-2027
CANYON CAFE,CANYON CAFE,BAJA CALI INC,AMERICAN CANYON,Napa,CA,94503-1274,3845 BROADWAY ST,41,00648774,31-AUG-2026
CHARDONNAY GOLF CLUB,CHARDONNAY GOLF CLUB,NAPA GOLF ASSOCIATES LLC,AMERICAN CANYON,Napa,CA,94503-9704,2555 JAMESON CANYON RD,47,00436787,31-JUL-2026
CHARDONNAY GOLF CLUB,CHARDONNAY GOLF CLUB,NAPA GOLF ASSOCIATES LLC,AMERICAN CANYON,Napa,CA,94503-9704,2555 JAMESON CANYON RD,68,00436787,31-JUL-2026
CHARDONNAY GOLF CLUB,CHARDONNAY GOLF CLUB,NAPA GOLF ASSOCIATES LLC,AMERICAN CANYON,Napa,CA,94503-9704,2555 JAMESON CANYON RD,47,00436787,31-JUL-2026
CIRCLE K STORES,CIRCLE K STORES,CIRCLE K STORES INC,AMERICAN CANYON,Napa,CA,94503,112 LOMBARD RD,20,00624818,28-FEB-2027
CITATION WINE,CITATION WINE,ERRATIC OAKS VINEYARD  INC.,AMERICAN CANYON,Napa,CA,94503,801 HANNA DR,10,00602528,30-NOV-2026
DEUTSCH FAMILY WINE & SPIRITS,DEUTSCH FAMILY WINE & SPIRITS,W J DEUTSCH & SONS LTD,AMERICAN CANYON,Napa,CA,94503-9606,875 HANNA DR,10,00419374,30-NOV-2026
DEUTSCH FAMILY WINE & SPIRITS,DEUTSCH FAMILY WINE & SPIRITS,W J DEUTSCH & SONS LTD,AMERICAN CANYON,Napa,CA,94503-9604,125 MEZZETTA CT,13,00488945,31-MAY-2027
ETHICA WINES,ETHICA WINES,F & F FINE WINES INTERNATIONAL INC,AMERICAN CANYON,Napa,CA,94503-9611,1275 COMMERCE BLVD,10,00544107,31-MAY-2027
FORTHRIGHT WINERY,FORTHRIGHT WINERY,BOLENOLOGY LLC,AMERICAN CANYON,Napa,CA,94503-1298,100 NAPA JUNCTION RD,02,00676875,30-JUN-2027
FOUR BEARS WINERY,FOUR BEARS WINERY,FOUR BEARS WINERY LLC,AMERICAN CANYON,Napa,CA,94503-9624,205 JIM OSWALT WAY,02,00601542,
FOUR BEARS WINERY,FOUR BEARS WINERY,FOUR BEARS WINERY LLC,AMERICAN CANYON,Napa,CA,94508,205 JIM OSWALT WAY,02,00433862,
GOLD MEDAL WINE GROUP  LLC,,GOLD MEDAL WINE GROUP  LLC,AMERICAN CANYON,Napa,CA,94503-9717,255 LOMBARD RD,09,00670283,31-MAR-2027
GOLD MEDAL WINE GROUP  LLC,,GOLD MEDAL WINE GROUP  LLC,AMERICAN CANYON,Napa,CA,94503-9717,255 LOMBARD RD,02,00670283,30-JUN-2026
GOLD MEDAL WINE GROUP  LLC,,GOLD MEDAL WINE GROUP  LLC,AMERICAN CANYON,Napa,CA,94503-9717,255 LOMBARD RD,17,00670283,31-MAR-2027
GOLD MEDAL WINE GROUP  LLC,,GOLD MEDAL WINE GROUP  LLC,AMERICAN CANYON,Napa,CA,94503-9717,255 LOMBARD RD,20,00670283,31-MAR-2027
GOLD MEDAL WINE GROUP  LLC,,GOLD MEDAL WINE GROUP  LLC,AMERICAN CANYON,Napa,CA,94503-9717,255 LOMBARD RD,14,00670283,31-MAR-2027
HALBY MARKETING INC,HALBY MARKETING INC,HALBY MARKETING INC,AMERICAN CANYON,Napa,CA,94503-9667,175 TOWER RD,13,00361284,31-OCT-2026
HARLAN ESTATE WINERY INC,HARLAN ESTATE WINERY INC,HARLAN ESTATE WINERY INC,AMERICAN CANYON,Napa,CA,94503-1704,5555 NAPA VALLEJO HWY,02,00443146,
HARLAN ESTATE WINERY INC,HARLAN ESTATE WINERY INC,HARLAN ESTATE WINERY INC,AMERICAN CANYON,Napa,CA,94503-9708,265 LOMBARD RD,02,00570909,30-JUN-2027
HOBEL WINES,HOBEL WINES,HOBEL WINES  LLC,AMERICAN CANYON,Napa,CA,94503-9667,177 TOWER RD,02,00628556,30-JUN-2027
HUB & SPOKE WINE CO,HUB & SPOKE WINE CO,PRIM FAMILY VINEYARD  LLC,AMERICAN CANYON,Napa,CA,94503-9667,175 TOWER RD,02,00551225,30-JUN-2027
INDIGO WINE GROUP,INDIGO WINE GROUP,INDIGO WINE GROUP LLC,AMERICAN CANYON,Napa,CA,94503-9606,875 HANNA DR,10,00444310,30-NOV-2026
ISRAELI WINE DIRECT,ISRAELI WINE DIRECT,ISRAELI WINE DIRECT  LLC,AMERICAN CANYON,Napa,CA,94503-1701,5555 BROADWAY,17,00532674,30-JUN-2026
ISRAELI WINE DIRECT,ISRAELI WINE DIRECT,ISRAELI WINE DIRECT  LLC,AMERICAN CANYON,Napa,CA,94503-1701,5555 BROADWAY,20,00532674,30-JUN-2026
ISRAELI WINE DIRECT,ISRAELI WINE DIRECT,ISRAELI WINE DIRECT  LLC,AMERICAN CANYON,Napa,CA,94503-1701,5555 BROADWAY,09,00532674,30-JUN-2026
JCOMMERCE WINE,JCOMMERCE WINE,JCOMMERCE WINE LIMITED LIABILITY COMPANY,AMERICAN CANYON,Napa,CA,94503-9709,255 LOMBARD RD.  STE K,17,00576638,31-JAN-2027
JCOMMERCE WINE,JCOMMERCE WINE,JCOMMERCE WINE LIMITED LIABILITY COMPANY,AMERICAN CANYON,Napa,CA,94503-9709,255 LOMBARD RD.  STE K,20,00576638,31-JAN-2027
JCOMMERCE WINE,JCOMMERCE WINE,JCOMMERCE WINE LIMITED LIABILITY COMPANY,AMERICAN CANYON,Napa,CA,94503-9709,255 LOMBARD RD.  STE K,09,00576638,31-JAN-2027
JUNCTION BREWERY & GRILL,JUNCTION BREWERY & GRILL,JBG INVESTMENT GROUP LLC,AMERICAN CANYON,Napa,CA,94503-4196,110 W AMERICAN CANYON RD,75,00553189,
KING ESTATE WINERY,KING ESTATE WINERY,KING ESTATE WINERY L-PSHIP,AMERICAN CANYON,Napa,CA,94503,760-820 HANNA DR,10,00405686,30-NOV-2026
LARUE WINES,LARUE WINES,LARUE WINES  INC.,AMERICAN CANYON,Napa,CA,94503-9667,175 TOWER RD,17,00572324,30-SEP-2026
LARUE WINES,LARUE WINES,LARUE WINES  INC.,AMERICAN CANYON,Napa,CA,94503-9667,175 TOWER RD,20,00572324,30-SEP-2026
MASCOT WINE,MASCOT WINE,THE MASCOT WINE  LLC,AMERICAN CANYON,Napa,CA,94503-9708,265 LOMBARD RD,02,00580163,30-JUN-2027
MOUNTAIN MIKES PIZZA,MOUNTAIN MIKES PIZZA,AMERICAN CANYON MMP INC,AMERICAN CANYON,Napa,CA,94503-1281,410 NAPA JUNCTION RD,41,00593812,
